,Unnamed: 0,기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,행정동,상권
10,10,20250801,0,11590540,19920.8963,910.1708,333.8777,469.0471,645.9277,762.6010999999999,667.5584,793.3352,759.3343999999998,847.4584,693.4636,680.7536,428.0239,364.1771,783.4912,870.6372,338.1629,477.3073,876.663,930.432,836.3547999999998,843.4152,798.5502,839.3433,742.9043,829.3239999999998,619.6119,517.3509,1261.6194,,
11,11,20250801,0,11290580,11657.1146,284.7641,196.0068,289.706,302.3278,322.5527,275.332,421.6884,386.694,399.4122,471.6208,524.3166,377.7576,314.8996,687.4281,288.8822,198.8,361.3274,472.2614,415.9516,362.1085,408.3347,426.4677,448.3639,516.4398,554.583,494.396,340.3335,1114.3581,,
12,12,20250801,0,11740570,30671.2931,1063.6573,553.1611,800.7395,746.35,1022.8552,1045.4031,1264.1638,1233.0241,1386.584,1151.261,1195.827,844.8973999999998,657.6644,1356.0599,1071.9584,562.779,693.889,832.6961,1059.1747,998.0542,1431.1227,1103.2106,1475.3562,1271.6483,1323.1675,1173.4026,833.4587,2519.7281,,
13,13,20250801,0,11410585,38852.1771,650.5856,204.4998,778.7301,3251.8606,3006.4508,1600.4841,1476.889,1047.6241,923.5888,906.792,756.8024,521.5289,390.0903,743.2627999999999,390.8731,196.7419,1244.7424,6700.059,4577.1403,1831.7757,1496.1154,1070.6609,983.9897,927.1573,862.3393999999998,557.0677,516.9089,1237.417,,
14,14,20250801,0,11560710,17069.942,236.3058,115.4829,211.3216,354.7524,668.2982,704.4367,1023.716,852.595,798.8837999999998,910.096,869.0517,668.6128,360.9094,620.0076,268.8938,132.0883,202.3884,550.3735,683.7095,712.2826,796.9534999999998,716.2571,649.5402,756.1300999999999,862.9376999999998,750.5231,512.078,1081.3171,,
15,15,20250801,0,11560540,53932.3747,1820.6098,879.033,1201.0815,1178.1636,1582.9611,2258.4337,3167.9213,2946.249,3083.96,2755.8476,2116.8812,1526.4436,895.2677,2095.7463,1903.2615,858.0166,1207.1498,1350.2364,1963.634,1991.7395,2649.3815,2663.7091,2610.3503,1896.3249,1860.9451,1322.8816,997.364,3148.7797,,
16,16,20250801,0,11350611,24308.6817,471.3352,556.9099,930.2882,1038.881,797.15,650.3972,694.5055,673.2723,931.0082000000002,978.1896,1030.7702,797.4688,614.3982,1121.9939,409.5177,424.1422,868.2712,1227.3691,795.4297,672.0381,782.9477,763.9411,1094.2178,1124.412,1134.5784,917.9036,741.4117,2065.9344,,
17,17,20250801,0,11200690,24719.3771,813.6746,270.4858,489.3532,807.2568999999999,1207.4348,1132.1108,1442.595,1203.1747,1134.5439,1003.8663,873.5395,659.3688,439.0265,755.4752999999998,827.6275,293.254,458.6722,1207.194,1201.2108,1226.3197,1319.8785,1058.27,970.8681,887.7689,891.4471999999998,607.5452,434.9,1102.5131,성수2가3동,성수
18,18,20250801,0,11440660,50058.321,468.9403,222.2058,1622.6553,4706.4877,3760.715,2638.3183,2575.0549,2113.9201,1869.2535,1457.8337,1025.188,667.2899,462.7657,980.2814,595.3992,363.4828,1816.7443,5155.6047,3976.9177,2360.1958,2315.6738,1763.9017,1785.222,1213.7881,1167.2339,783.5431999999998,580.3311,1609.3748,,
19,19,20250801,0,11410720,30061.6972,929.7255,518.5158,698.6947,823.5086,1067.29,1070.6381,1162.6602,1118.3185,1283.3731,1160.3443,1110.9093,793.3771,593.3309,1319.8486,872.1244,515.7815,717.9057,1171.9506,1292.0185,1118.4047,1310.2611,1109.9413,1335.3085,1276.1318,1228.2131,1133.9593,803.5811999999999,2525.5818,,
20,20,20250801,0,11380570,58756.1,2376.4395,1096.6391,1108.7624,1265.3831,1930.0616,2334.8404,2857.4239,2363.3426,2509.7992,2175.0755,1867.679,1442.5989,1022.9329,2026.8798,2035.8141,1041.1562,1153.0821,2239.3064,2976.3466,3048.9846,3158.6655,2658.0668,2567.0305,2221.5546,2251.2788,1829.1582,1474.9623,3722.8332,,
21,21,20250801,0,11380631,23691.5596,686.8592,377.1694,593.805,674.5825,839.5771999999998,812.7181,954.0479,892.2667,953.7747,882.6408,884.7944,642.9197,529.6426,1018.5641,711.0656,345.1489,514.8622,724.7211999999998,917.2953,956.3082,1104.5058,979.1587,1152.7966,998.706,1145.0301,899.5602,724.4008,1774.6374,,
22,22,20250801,0,11320511,20183.588,660.2824,396.0454,519.4871,535.3576,565.016,740.8547,837.2822,719.0677,841.0127999999999,811.0019999999998,804.1455999999998,640.4668,446.2544,1025.1293,532.074,314.407,460.6446,702.9195,709.2864,667.7715,788.1405999999998,736.5723,867.2464999999999,882.8391,913.0936,803.5046999999998,626.8188,1636.8648,,
23,23,20250801,0,11740640,22393.5827,863.9218,446.13,671.9543,486.136,649.223,691.7441,997.2918,798.4556,899.6879,869.5474,748.6436,548.0124,401.4234,1006.0032,817.0254,413.6253,568.8184,672.5962,801.1579,883.0743,994.3971,1008.5173,1114.4975,914.0958,910.0087,785.5268,655.5041,1776.5628,,
24,24,20250801,0,11440680,15556.9559,374.6546,100.1464,195.6168,560.8893,923.6227,987.8912,890.6979,733.3606999999998,732.3819999999998,488.2828,437.4235,323.6374,221.4306,453.6596,318.4416,118.4173,334.0212,804.0875,1109.1457,1011.7299,897.9539,603.6881,612.1516,403.5351,467.2113,363.3209,331.4611,758.0952999999998,,
25,25,20250801,0,11560650,15344.2029,500.8271,235.0486,321.3382,439.0927,564.0085,607.6017,714.0011,578.4512,692.9428,514.6123,630.0038,554.6658,347.9678,741.0401,528.9935,247.5539,321.0084,446.4725,582.2124,655.2332,671.528,541.3683,605.004,589.5006,666.9894,596.0387,490.0981,960.5991,,
